team,aau_mentions,eybl_circuit_mentions,url_fetched
Michigan,{},0,https://247sports.com/college/michigan/Season/2026-Basketball/Commits/
Duke,{},0,https://247sports.com/college/duke/Season/2026-Basketball/Commits/
Arizona,{},0,https://247sports.com/college/arizona/Season/2026-Basketball/Commits/
Florida,{},0,https://247sports.com/college/florida/Season/2026-Basketball/Commits/
Illinois,{},0,https://247sports.com/college/illinois/Season/2026-Basketball/Commits/
Houston,{},0,https://247sports.com/college/houston/Season/2026-Basketball/Commits/
Purdue,{},0,https://247sports.com/college/purdue/Season/2026-Basketball/Commits/
Connecticut,{},0,https://247sports.com/college/connecticut/Season/2026-Basketball/Commits/
Alabama,{},0,https://247sports.com/college/alabama/Season/2026-Basketball/Commits/
Texas Tech,{},0,https://247sports.com/college/texas-tech/Season/2026-Basketball/Commits/
Gonzaga,{},0,https://247sports.com/college/gonzaga/Season/2026-Basketball/Commits/
Vanderbilt,{},0,https://247sports.com/college/vanderbilt/Season/2026-Basketball/Commits/
Louisville,{},0,https://247sports.com/college/louisville/Season/2026-Basketball/Commits/
Michigan State,{},0,https://247sports.com/college/michigan-state/Season/2026-Basketball/Commits/
Tennessee,{},0,https://247sports.com/college/tennessee/Season/2026-Basketball/Commits/
Arkansas,{},0,https://247sports.com/college/arkansas/Season/2026-Basketball/Commits/
Iowa State,{},0,https://247sports.com/college/iowa-state/Season/2026-Basketball/Commits/
Virginia,{},0,https://247sports.com/college/virginia/Season/2026-Basketball/Commits/
Kansas,{},0,https://247sports.com/college/kansas/Season/2026-Basketball/Commits/
Nebraska,{},0,https://247sports.com/college/nebraska/Season/2026-Basketball/Commits/
Wisconsin,{},0,https://247sports.com/college/wisconsin/Season/2026-Basketball/Commits/
Iowa,{},0,https://247sports.com/college/iowa/Season/2026-Basketball/Commits/
North Carolina,{},0,https://247sports.com/college/north-carolina/Season/2026-Basketball/Commits/
Saint Mary's,{},0,https://247sports.com/college/saint-marys/Season/2026-Basketball/Commits/
Indiana,{},0,https://247sports.com/college/indiana/Season/2026-Basketball/Commits/
UCLA,{},0,https://247sports.com/college/ucla/Season/2026-Basketball/Commits/
Brigham Young,{},0,https://247sports.com/college/brigham-young/Season/2026-Basketball/Commits/
Georgia,{},0,https://247sports.com/college/georgia/Season/2026-Basketball/Commits/
