team,roster_size,pct_south,pct_midwest,pct_northeast,pct_west,pct_international,top_states
Michigan,16,0.231,0.308,0.385,0.077,0.188,"{""FL"": 3, ""NY"": 3, ""IL"": 2, ""NJ"": 2, ""OR"": 1}"
Duke,13,0.727,0.0,0.182,0.091,0.154,"{""VA"": 3, ""FL"": 2, ""NC"": 2, ""CA"": 1, ""NJ"": 1}"
Arizona,16,0.0,0.111,0.222,0.556,0.5,"{""CA"": 2, ""NY"": 2, ""AZ"": 2, ""VIC"": 1, ""NV"": 1}"
Florida,15,0.5,0.0,0.167,0.167,0.467,"{""FL"": 5, ""WA"": 2, ""NY"": 1, ""NC"": 1, ""PA"": 1}"
Illinois,14,0.0,0.889,0.0,0.111,0.357,"{""IL"": 4, ""IN"": 2, ""MI"": 1, ""CA"": 1, ""KS"": 1}"
Houston,14,0.667,0.0,0.0,0.333,0.143,"{""TX"": 3, ""LA"": 2, ""CA"": 2, ""ID"": 1, ""MS"": 1}"
Purdue,16,0.067,0.733,0.133,0.0,0.125,"{""IN"": 7, ""OH"": 2, ""QLD"": 1, ""MA"": 1, ""GA"": 1}"
Connecticut,15,0.364,0.273,0.182,0.091,0.333,"{""VA"": 3, ""NC"": 1, ""TAS"": 1, ""MA"": 1, ""IL"": 1}"
Alabama,17,0.25,0.333,0.333,0.083,0.118,"{""WI"": 2, ""PA"": 1, ""VT"": 1, ""TX"": 1, ""NC"": 1}"
Texas Tech,14,0.692,0.077,0.0,0.154,0.143,"{""TX"": 6, ""AB"": 1, ""NC"": 1, ""GA"": 1, ""FL"": 1}"
Gonzaga,16,0.077,0.231,0.077,0.615,0.188,"{""WA"": 4, ""IL"": 2, ""CA"": 1, ""KS"": 1, ""ID"": 1}"
Vanderbilt,16,0.625,0.125,0.0,0.25,0.0,"{""CA"": 4, ""TX"": 3, ""GA"": 2, ""FL"": 2, ""IN"": 2}"
Louisville,16,0.5,0.333,0.167,0.0,0.25,"{""DC"": 2, ""KY"": 2, ""IN"": 1, ""FL"": 1, ""MN"": 1}"
Michigan State,15,0.4,0.4,0.133,0.067,0.0,"{""MI"": 4, ""GA"": 1, ""IL"": 1, ""MS"": 1, ""KY"": 1}"
Tennessee,16,0.846,0.0,0.154,0.0,0.188,"{""TX"": 3, ""VA"": 2, ""AL"": 2, ""TN"": 2, ""NC"": 1}"
Arkansas,15,0.5,0.167,0.25,0.083,0.2,"{""TN"": 2, ""PA"": 2, ""MO"": 1, ""MI"": 1, ""GA"": 1}"
Iowa State,14,0.083,0.667,0.0,0.25,0.143,"{""WI"": 4, ""IA"": 3, ""ID"": 1, ""MN"": 1, ""NV"": 1}"
Virginia,15,0.455,0.091,0.182,0.273,0.267,"{""VA"": 4, ""CA"": 2, ""NJ"": 1, ""UT"": 1, ""IL"": 1}"
Kansas,16,0.385,0.385,0.154,0.0,0.25,"{""TX"": 2, ""MO"": 1, ""IL"": 1, ""NY"": 1, ""NE"": 1}"
Nebraska,16,0.083,0.75,0.083,0.083,0.25,"{""NE"": 6, ""MN"": 1, ""IN"": 1, ""TX"": 1, ""NJ"": 1}"
St. John's,15,0.25,0.125,0.375,0.25,0.467,"{""WA"": 1, ""TX"": 1, ""IL"": 1, ""NY"": 1, ""FL"": 1}"
Wisconsin,15,0.083,0.75,0.083,0.0,0.267,"{""WI"": 4, ""MN"": 4, ""NY"": 1, ""MI"": 1, ""NC"": 1}"
Iowa,14,0.231,0.769,0.0,0.0,0.071,"{""MO"": 6, ""IA"": 2, ""TX"": 1, ""IL"": 1, ""KS"": 1}"
North Carolina,16,0.692,0.308,0.0,0.0,0.188,"{""NC"": 6, ""IL"": 1, ""VA"": 1, ""MO"": 1, ""TX"": 1}"
Saint Mary's,15,0.0,0.0,0.0,0.769,0.4,"{""CA"": 8, ""ID"": 1, ""NSW"": 1, ""ON"": 1, ""QLD"": 1}"
Indiana,17,0.467,0.4,0.133,0.0,0.118,"{""FL"": 3, ""IN"": 3, ""MA"": 1, ""TX"": 1, ""IA"": 1}"
UCLA,15,0.067,0.067,0.2,0.667,0.0,"{""CA"": 8, ""NY"": 2, ""WA"": 1, ""IN"": 1, ""AZ"": 1}"
Brigham Young,17,0.0,0.1,0.2,0.7,0.353,"{""UT"": 3, ""CA"": 1, ""MO"": 1, ""MA"": 1, ""WA"": 1}"
Georgia,15,0.786,0.071,0.071,0.071,0.067,"{""GA"": 4, ""FL"": 3, ""SC"": 1, ""TN"": 1, ""IN"": 1}"
Santa Clara,17,0.462,0.154,0.077,0.154,0.353,"{""TX"": 4, ""IL"": 2, ""PA"": 1, ""LA"": 1, ""CA"": 1}"
