season,model_top_pick,model_top_score,actual_champion,champion_rank,champion_contender_score,top5_picks,mean_contender,std_contender,max_contender
2010,Marquette,72.9,Duke,4,66.3,"Marquette, Auburn, Tennessee, Duke, Illinois",50.7,10.2,72.9
2011,Connecticut,77.1,Connecticut,1,77.1,"Connecticut, North Carolina, Creighton, Gonzaga, Baylor",50.7,10.2,77.1
2012,Alabama,74.9,Kentucky,16,59.0,"Alabama, Tennessee, Arizona, Purdue, Creighton",50.7,9.7,74.9
2013,North Carolina,73.5,Louisville,-1,,"North Carolina, Tennessee, Kansas, Utah State, Gonzaga",50.7,9.7,73.5
2014,Connecticut,71.9,Connecticut,1,71.9,"Connecticut, Dayton, Gonzaga, Arizona, Kansas",50.7,9.6,71.9
2015,Kentucky,80.6,Duke,3,76.0,"Kentucky, Villanova, Duke, Arkansas, Oklahoma",50.1,13.0,80.6
2016,Duke,78.4,Villanova,5,75.6,"Duke, North Carolina, Iowa, Kentucky, Villanova",50.1,13.2,78.4
2017,Duke,77.9,North Carolina,22,72.1,"Duke, Florida, Notre Dame, Villanova, West Virginia",50.1,13.4,77.9
2018,Tennessee,78.7,Villanova,3,77.3,"Tennessee, West Virginia, Villanova, Duke, Kansas",50.1,13.2,78.7
2019,Tennessee,78.0,Virginia,4,76.1,"Tennessee, Gonzaga, Auburn, Virginia, Louisiana State",50.1,13.4,78.0
2021,Houston,77.4,Baylor,2,77.3,"Houston, Baylor, Louisiana State, Syracuse, West Virginia",50.1,13.2,77.4
2022,Villanova,79.8,Kansas,6,74.4,"Villanova, Iowa, Auburn, Duke, Texas",50.1,13.2,79.8
2023,UCLA,78.1,Connecticut,8,73.0,"UCLA, Houston, Texas, Memphis, Baylor",50.1,13.2,78.1
2024,Auburn,78.3,Connecticut,5,75.8,"Auburn, Houston, Tennessee, Alabama, Connecticut",50.1,13.3,78.3
2025,Houston,78.6,Florida,8,75.5,"Houston, Auburn, Duke, Tennessee, Clemson",50.1,13.2,78.6
