season,champion,champ_rank,ff_avg_rank,ff_in_top4,ff_in_top8,e8_avg_rank,e8_in_top8,e8_in_top16,s16_avg_rank,s16_in_top16,s16_in_top20
2015,Duke,4,16.8,2,2,19.1,2,5,18.9,9,10
2016,Villanova,5,6.0,1,3,12.2,4,5,22.1,6,9
2017,North Carolina,22,18.0,0,0,21.8,1,3,26.5,7,8
2018,Villanova,3,21.7,1,2,19.4,3,5,26.3,8,8
2019,Virginia,5,6.8,1,3,8.4,5,7,11.8,11,14
2021,Baylor,3,12.5,2,2,16.8,2,4,21.6,7,10
2022,Kansas,8,9.2,2,3,31.9,3,4,30.9,6,7
2023,Connecticut,10,24.2,0,0,25.5,1,2,26.5,4,6
2024,Connecticut,5,14.2,1,2,13.6,3,4,15.9,10,12
2025,Florida,8,3.5,3,4,11.2,5,6,17.1,10,11
