team,sweet_16,sweet_16_pct,elite_8,elite_8_pct,final_four,final_four_pct,championships,championship_pct
Illinois,308071,61.61,188673,37.73,122670,24.53,49708,9.94
Arizona,324305,64.86,207046,41.41,125817,25.16,43441,8.69
Michigan State,230023,46.0,147304,29.46,85937,17.19,25840,5.17
Purdue,296120,59.22,167055,33.41,89570,17.91,25481,5.1
Duke,261670,52.33,152324,30.46,87366,17.47,25083,5.02
Virginia,252779,50.56,155085,31.02,90577,18.12,24923,4.98
Gonzaga,249399,49.88,149436,29.89,81962,16.39,24244,4.85
Houston,221117,44.22,118398,23.68,69748,13.95,22982,4.6
Michigan,251269,50.25,148654,29.73,82869,16.57,21396,4.28
Florida,260501,52.1,142107,28.42,66478,13.3,18142,3.63
Saint Mary's,184725,36.95,95361,19.07,54317,10.86,16644,3.33
Nebraska,216533,43.31,122384,24.48,57377,11.48,15668,3.13
Kansas,200248,40.05,111170,22.23,60171,12.03,15135,3.03
Alabama,193786,38.76,107025,21.4,58181,11.64,14249,2.85
Vanderbilt,218291,43.66,118008,23.6,52664,10.53,13256,2.65
Wisconsin,184631,36.93,92464,18.49,48322,9.66,12055,2.41
Connecticut,224294,44.86,109016,21.8,55013,11.0,12031,2.41
St. John's,180593,36.12,97283,19.46,50819,10.16,11780,2.36
Iowa State,205699,41.14,101955,20.39,51943,10.39,10430,2.09
Louisville,147908,29.58,84985,17.0,43748,8.75,9890,1.98
Arkansas,179164,35.83,85311,17.06,42781,8.56,9803,1.96
Tennessee,186482,37.3,99096,19.82,49701,9.94,9769,1.95
Kentucky,165259,33.05,80640,16.13,40359,8.07,7893,1.58
Brigham Young,122025,24.4,59583,11.92,25901,5.18,4815,0.96
UCLA,147218,29.44,63000,12.6,28028,5.61,4756,0.95
Georgia,116338,23.27,56534,11.31,25678,5.14,4129,0.83
Clemson,128492,25.7,58061,11.61,22110,4.42,4070,0.81
Hofstra,110699,22.14,50591,10.12,22884,4.58,3578,0.72
Saint Louis,109982,22.0,52569,10.51,23267,4.65,3575,0.71
Ohio State,114983,23.0,50846,10.17,22008,4.4,3384,0.68
Virginia Commonwealth,96347,19.27,37631,7.53,16094,3.22,2773,0.55
Texas,94262,18.85,42346,8.47,16782,3.36,2533,0.51
South Florida,81118,16.22,38771,7.75,16203,3.24,2372,0.47
Miami,117842,23.57,46921,9.38,17307,3.46,2300,0.46
Akron,103967,20.79,43050,8.61,17527,3.51,2252,0.45
Utah State,92383,18.48,38834,7.77,15326,3.07,2091,0.42
Santa Clara,93385,18.68,36853,7.37,15075,3.02,1801,0.36
Iowa,93455,18.69,37646,7.53,12455,2.49,1752,0.35
Texas Christian,86459,17.29,34249,6.85,13163,2.63,1630,0.33
Texas Tech,91548,18.31,36174,7.23,14050,2.81,1573,0.31
High Point,80318,16.06,29884,5.98,11606,2.32,1536,0.31
Central Florida,92581,18.52,33627,6.73,12591,2.52,1480,0.3
Texas A&M,59839,11.97,21058,4.21,8165,1.63,1174,0.23
North Carolina,66717,13.34,22419,4.48,8452,1.69,1122,0.22
Villanova,70103,14.02,26610,5.32,9405,1.88,1014,0.2
Northern Iowa,64226,12.85,24325,4.87,8878,1.78,943,0.19
California Baptist,54933,10.99,19392,3.88,6533,1.31,591,0.12
Hawaii,55887,11.18,17449,3.49,5727,1.15,532,0.11
Missouri,62521,12.5,19415,3.88,5484,1.1,432,0.09
North Dakota State,40951,8.19,15124,3.02,4765,0.95,418,0.08
Idaho,34319,6.86,9475,1.9,2945,0.59,283,0.06
Troy,43246,8.65,13540,2.71,3278,0.66,246,0.05
Siena,36888,7.38,10411,2.08,2814,0.56,177,0.04
Wright State,35676,7.14,10832,2.17,2971,0.59,140,0.03
Pennsylvania,28865,5.77,6985,1.4,1918,0.38,131,0.03
Kennesaw State,34314,6.86,10480,2.1,2738,0.55,175,0.03
Furman,35907,7.18,8173,1.63,1963,0.39,83,0.02
Tennessee State,35657,7.13,9206,1.84,2341,0.47,113,0.02
Miami OH,25063,5.01,6333,1.27,1422,0.28,58,0.01
Queens,23517,4.7,4764,0.95,855,0.17,26,0.01
McNeese State,21930,4.39,4845,0.97,819,0.16,28,0.01
Howard,22411,4.48,5403,1.08,1155,0.23,41,0.01
Long Island University,13209,2.64,2402,0.48,417,0.08,8,0.0
Prairie View,17552,3.51,3409,0.68,510,0.1,22,0.0
