team,championships,championship_pct
Houston,128,12.8
Alabama,99,9.9
UCLA,64,6.4
Arkansas,56,5.6
Arizona,55,5.5
Duke,46,4.6
Illinois,39,3.9
Kansas,39,3.9
Connecticut,37,3.7
Wisconsin,37,3.7
Georgia,36,3.6
Purdue,36,3.6
Michigan,31,3.1
Texas Tech,31,3.1
Vanderbilt,28,2.8
Texas A&M,21,2.1
Kentucky,20,2.0
Gonzaga,20,2.0
Florida,19,1.9
North Carolina,15,1.5
McNeese State,14,1.4
Michigan State,13,1.3
Indiana,13,1.3
Iowa State,11,1.1
Virginia,11,1.1
Auburn,11,1.1
Kansas State,7,0.7
High Point,6,0.6
Liberty,5,0.5
Baylor,5,0.5
Northwestern,5,0.5
New Mexico,4,0.4
Stanford,4,0.4
Akron,4,0.4
San Diego State,4,0.4
Colorado State,4,0.4
Marquette,4,0.4
Texas,3,0.3
Oklahoma,3,0.3
Furman,2,0.2
Tennessee,2,0.2
Creighton,2,0.2
BYU,1,0.1
Minnesota,1,0.1
Mississippi State,1,0.1
Saint Marys CA,1,0.1
Dayton,1,0.1
Oregon,1,0.1
