team,seed,region,elite_8_pct,final_four_pct,championship_pct
Illinois,3,South,56.8,37.59,14.11
Arizona,1,West,61.27,37.17,11.18
Michigan State,3,East,58.56,31.39,9.3
Duke,1,East,55.27,28.81,8.03
Houston,2,South,43.2,25.96,7.81
Purdue,2,West,64.4,31.32,7.59
Nebraska,4,South,64.45,26.59,6.68
Michigan,1,Midwest,51.34,28.84,6.59
Alabama,4,Midwest,48.66,26.71,5.8
St. John's,5,East,44.73,21.09,4.81
Iowa State,2,Midwest,50.96,22.98,4.07
Connecticut,2,East,41.44,18.71,3.93
Arkansas,4,West,38.73,19.14,3.69
Tennessee,6,Midwest,49.04,21.47,3.62
Texas,11,West,35.6,12.38,1.53
Iowa,9,South,35.55,9.86,1.25
